scorer,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D,DLC_3D
bodyparts,turn,turn,turn,tip,tip,tip
coords,x,y,z,x,y,z
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,47.4463769032085,12.281442126617483,71.98451010124619
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,53.881258662928175,-6.570840745699785,67.32841037459352,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,9.808392854809876,0.26918970700284994,27.24765220310459
67,,,,12.000692573201503,1.2770898635413517,30.283036058355098
68,,,,12.904288844634271,1.72738592279753,24.464911181930827
69,14.896522269122972,2.8125329121554326,30.44666419136384,13.918212262935414,2.7591997161404476,27.885174001282945
70,15.150734576133624,3.5002762418460978,27.966830750311043,14.085250210033813,3.232088653202837,23.962494622437777
71,15.049946441848533,3.773699295087488,27.155300497446195,13.896779493636787,3.4979913796807938,23.135134877987884
72,14.856234337390315,4.220526334761612,26.23969828081469,,,
73,14.445641676590359,4.5623050979409205,25.831202515666256,,,
74,14.177840281818234,4.849797984848523,25.85156620996313,12.813570750710472,4.582196199881666,22.17541441774721
75,13.605670845950934,4.878730413717434,25.426404152396476,12.247060018741124,4.470403299806328,21.14733909837643
76,13.282974291176206,5.006914713516913,25.990194168867614,11.977533121451504,4.536261259539648,21.496553155274345
77,12.887505371504718,4.981499320474906,25.536600369893808,11.721984289653946,4.345325981515701,21.11117853316199
78,12.347563562734466,4.729823629976398,24.62836638531803,11.264862024099395,4.07163351486421,20.62922728402343
79,12.122189950964536,4.486952637932926,24.530231432634597,11.090698222168095,3.7103236252269007,20.47864188131436
80,12.045619894795125,4.330926075582814,24.32214709621412,11.158093317681633,3.5865037797343073,20.47116706075232
81,12.05426197357684,4.161846458577095,24.0670312243231,11.072059517936596,3.2948000568779787,19.71559800687612
82,12.038514864673903,4.096664301086925,23.891178173145267,11.069805042836235,3.2447558244821426,19.674558564081806
